10/16/15
Module Metrics

Program: PopcornTime_Android
Module Name,Mod #,v(G),ev(G),iv(G),# Lines,Line #
"TorrentService.onStreamError(com.github.sv244.torrentstream.Torrent,java.lang.Exception)",454,2,1,2,5,329
TorrentService.onStreamStarted(com.github.sv244.torrentstream.Torrent),458,2,1,2,5,322
pct.droid.base.beaming.BeamManager.__Anon_004_.onError(com.connectsdk.service.command.ServiceCommandError),540,2,1,2,5,288
pct.droid.base.beaming.BeamManager.__Anon_004_.onSuccess(MediaLaunchObject),541,2,1,2,5,281
BaseStreamLoadingFragment.cancelStream(),11,2,1,2,5,253
BaseStreamLoadingFragment.onTorrentServiceDisconnected(),28,2,1,2,5,136
Magnet.open(android.app.Activity),220,2,1,2,5,78
"BaseProvider.enqueue(com.squareup.okhttp.Request,Callback)",10,2,1,2,5,68
NetworkUtils.isWifiConnected(android.content.Context),256,2,1,2,5,37
"IntentUtils.getBrowserIntent(android.content.Context,java.lang.String)",210,2,1,2,5,33
ThreadUtils.runOnUiThread(java.lang.Runnable),424,2,1,2,5,30
"TorrentBroadcastReceiver.onReceive(android.content.Context,android.content.Intent)",436,2,1,2,5,29
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_038_.get(PrefItem),608,2,1,2,4,641
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_036_.get(PrefItem),606,2,1,2,4,619
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_030_.get(PrefItem),600,2,1,2,4,518
"BeamManager.onDeviceAdded(com.connectsdk.discovery.DiscoveryManager,com.connectsdk.device.ConnectableDevice)",96,2,1,2,4,414
"BeamManager.onCapabilityUpdated(com.connectsdk.device.ConnectableDevice,java.util.List,java.util.List)",93,2,1,2,4,401
pct.droid.base.content.preferences.PreferencesHandler.ItemsGenerator.__Anon_010_.get(PrefItem),580,2,1,2,4,230
pct.droid.base.vpn.VPNManager.2.__Anon_001_.run(),685,2,1,2,4,215
"ObscuredSharedPreferences.getString(java.lang.String,java.lang.String)",1126,2,1,2,4,161
"ObscuredSharedPreferences.getLong(java.lang.String,long)",279,2,1,2,4,155
"ObscuredSharedPreferences.getInt(java.lang.String,int)",278,2,1,2,4,149
"ObscuredSharedPreferences.getFloat(java.lang.String,float)",277,2,1,2,4,143
"ObscuredSharedPreferences.getBoolean(java.lang.String,boolean)",276,2,1,2,4,137
PrefItem.onClick(),336,2,1,2,4,109
SubtitleDownloader.setSubtitleDownloaderListener(ISubtitleDownloaderListener),423,2,1,2,4,65
BaseVideoPlayerFragment.isPlaying(),34,2,1,2,3,433
"StreamInfo.writeToParcel(android.os.Parcel,int)",385,2,1,1,14,145
BaseVideoPlayerFragment.scaleClick(),58,2,1,1,9,400
TorrentService.checkStopped(),444,2,1,1,7,252
StorageUtils.isExternalStorageAvailable(),1581,2,1,1,7,39
"BaseVideoPlayerFragment.onStreamProgress(com.github.sv244.torrentstream.Torrent,com.github.sv244.torrentstream.StreamStatus)",51,2,1,1,6,745
"TimedTextFileFormat.getLine(java.lang.String[],int)",428,2,1,1,6,73
Format.equals(java.lang.Object),177,2,1,1,6,60
BaseVideoPlayerFragment.onAttach(android.content.Context),38,2,1,1,4,213
BaseStreamLoadingFragment.onAttach(android.content.Context),14,2,1,1,4,120
"pct.droid.base.fragments.dialog.NumberPickerDialogFragment.__Anon_001_.onClick(android.content.DialogInterface,int)",631,2,1,1,4,90
LocaleUtils.isRTL(java.util.Locale),215,2,1,1,4,63
"BaseStreamLoadingFragment.onSubtitleDownloadCompleted(boolean,pct.droid.base.subs.TimedTextObject)",25,2,1,1,3,366
"OpenSubsProvider.getList(pct.droid.base.providers.media.models.Episode,Callback)",283,1,1,1,89,45
BeamManager.BeamManager(android.content.Context),79,1,1,1,67,99
HaruProvider.getGenres(),206,1,1,1,45,211
"EZTVProvider.fetchList(java.util.ArrayList,Builder,Filters,Callback)",1435,1,1,1,43,138
YSubsProvider.YSubsProvider#StaticInitializer#1,512,1,1,1,43,38
"HaruProvider.fetchList(java.util.ArrayList,Builder,Filters,Callback)",204,1,1,1,36,124
PopcornUpdater.downloadFile(java.lang.String),313,1,1,1,35,268
"EZTVProvider.getDetail(java.util.ArrayList,java.lang.Integer,Callback)",146,1,1,1,34,183
"HaruProvider.getDetail(java.util.ArrayList,java.lang.Integer,Callback)",205,1,1,1,34,162
EZTVProvider.getGenres(),147,1,1,1,31,359
"TraktProvider.getMovieMeta(java.lang.String,Callback)",469,1,1,1,29,51
YTSProvider.getGenres(),522,1,1,1,28,339
SortUtils.sortQualities(java.lang.String[]),359,1,1,1,24,25
"TraktProvider.getEpisodeMeta(java.lang.String,int,int,Callback)",468,1,1,1,22,88
BaseVideoPlayerFragment.subsTimingSettings(),67,1,1,1,19,878
"YSubsProvider.getList(pct.droid.base.providers.media.models.Movie,Callback)",518,1,1,1,18,83
BaseVideoPlayerFragment.subsSizeSettings(),66,1,1,1,17,860
"YSubsProvider.fetch(Builder,pct.droid.base.providers.media.models.Movie,Callback)",516,1,1,1,17,109
ChangeLogDialogFragment.onCreateDialog(android.os.Bundle),137,1,1,1,16,33
StreamInfo.StreamInfo(android.os.Parcel),365,1,1,1,14,160
